,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,MobRob,MobRob,MobRob,MobRob,MobRob,MobRob,MobRob,"MobRob:Marker1","MobRob:Marker1","MobRob:Marker1","MobRob:Marker1","MobRob:Marker2","MobRob:Marker2","MobRob:Marker2","MobRob:Marker2","MobRob:Marker3","MobRob:Marker3","MobRob:Marker3","MobRob:Marker3","MobRob:Marker4","MobRob:Marker4","MobRob:Marker4","MobRob:Marker4",MobRob:Marker1,MobRob:Marker1,MobRob:Marker1,MobRob:Marker2,MobRob:Marker2,MobRob:Marker2,MobRob:Marker3,MobRob:Marker3,MobRob:Marker3,MobRob:Marker4,MobRob:Marker4,MobRob:Marker4,Unlabeled 1353,Unlabeled 1353,Unlabeled 1353
,ID,"56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","56403CFA87D011EFD78ED9B15AC47EAE","C3A40","C3A40","C3A40","C3AA0","C3AA0","C3AA0","C3A90","C3A90","C3A90","C36E0","C36E0","C36E0","C3DA0","C3DA0","C3DA0"
,,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),Y,X,Z,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
18,0.150000,93.633690,-0.950158,0.316370,0.061793,0.156238,0.099758,0.001043,-0.026915,0.150261,0.260082,0.399677,0.137443,0.158987,0.099698,0.566782,0.026276,0.161888,0.145981,0.533624,-0.006479,0.151385,0.097889,0.334201,-0.027305,0.148254,0.261365,0.136986,0.157741,0.100754,0.025721,0.160335,0.146891,-0.006820,0.149801,0.100051,,,
19,0.158333,93.634361,-0.954014,0.315605,0.061791,0.156239,0.099762,0.001043,-0.026914,0.150257,0.260088,0.396741,0.137441,0.158992,0.099701,0.566700,0.026274,0.161887,0.145986,0.532409,-0.006481,0.151380,0.097894,0.329476,-0.027297,0.148250,0.261373,0.136979,0.157724,0.100788,0.025717,0.160343,0.146884,-0.006816,0.149807,0.100041,,,
20,0.166667,93.638390,-0.952853,0.316655,0.061790,0.156244,0.099760,0.001038,-0.026904,0.150261,0.260092,0.396287,0.137440,0.158996,0.099694,0.570285,0.026276,0.161892,0.145986,0.533979,-0.006482,0.151387,0.097897,0.332503,-0.027303,0.148255,0.261376,0.136977,0.157739,0.100771,0.025721,0.160354,0.146883,-0.006814,0.149820,0.100033,,,
21,0.175000,93.634804,-0.950029,0.317682,0.061788,0.156241,0.099765,0.001038,-0.026916,0.150260,0.260091,0.403056,0.137439,0.158989,0.099704,0.575416,0.026272,0.161890,0.145989,0.533998,-0.006484,0.151387,0.097897,0.329975,-0.027294,0.148269,0.261353,0.136983,0.157743,0.100764,0.025722,0.160353,0.146890,-0.006821,0.149814,0.100041,,,
22,0.183333,93.632744,-0.950988,0.318252,0.061794,0.156247,0.099757,0.001044,-0.026916,0.150264,0.260080,0.394365,0.137444,0.158997,0.099698,0.571768,0.026276,0.161895,0.145980,0.533551,-0.006478,0.151393,0.097887,0.328794,-0.027302,0.148247,0.261366,0.136990,0.157740,0.100769,0.025725,0.160355,0.146878,-0.006825,0.149819,0.100034,,,
23,0.191667,93.633957,-0.947731,0.317775,0.061789,0.156229,0.099766,0.001046,-0.026918,0.150252,0.260091,0.394365,0.137439,0.158974,0.099706,0.571768,0.026272,0.161880,0.145990,0.533551,-0.006484,0.151378,0.097898,0.328794,-0.027306,0.148234,0.261372,0.136978,0.157715,0.100779,0.025719,0.160329,0.146899,-0.006818,0.149817,0.100029,,,
24,0.200000,93.621651,-0.953381,0.317346,0.061791,0.156230,0.099756,0.001040,-0.026950,0.150244,0.260062,0.394728,0.137441,0.158983,0.099712,0.570546,0.026264,0.161877,0.145972,0.529901,-0.006480,0.151372,0.097873,0.334287,-0.027329,0.148242,0.261334,0.136986,0.157732,0.100765,0.025720,0.160354,0.146860,-0.006813,0.149807,0.099995,,,
25,0.208333,93.640099,-0.952144,0.311487,0.061760,0.156208,0.099722,0.001039,-0.026929,0.150240,0.260057,0.399325,0.137410,0.158959,0.099653,0.575824,0.026248,0.161860,0.145949,0.538856,-0.006512,0.151351,0.097861,0.335384,-0.027324,0.148232,0.261336,0.136949,0.157692,0.100740,0.025704,0.160345,0.146819,-0.006832,0.149798,0.099977,,,
26,0.216667,93.715370,-0.949026,0.284159,0.061729,0.156138,0.099647,0.001042,-0.026751,0.150249,0.260100,0.396729,0.137379,0.158887,0.099478,0.566929,0.026277,0.161813,0.145917,0.542624,-0.006546,0.151282,0.097877,0.339066,-0.027181,0.148197,0.261458,0.136892,0.157586,0.100611,0.025728,0.160295,0.146799,-0.006854,0.149735,0.099982,,,
27,0.225000,93.844788,-0.964129,0.254363,0.061727,0.156057,0.099586,0.001050,-0.026390,0.150222,0.260241,0.354866,0.137376,0.158829,0.099245,0.546813,0.026378,0.161745,0.145933,0.528173,-0.006550,0.151179,0.097972,0.351692,-0.026840,0.148112,0.261656,0.136879,0.157521,0.100398,0.025824,0.160195,0.146857,-0.006840,0.149659,0.100053,,,
28,0.233333,94.028526,-0.974315,0.264392,0.061802,0.156002,0.099533,0.001048,-0.025798,0.150123,0.260469,0.364176,0.137449,0.158786,0.098950,0.572135,0.026601,0.161675,0.145994,0.508757,-0.006479,0.151113,0.098138,0.323054,-0.026265,0.148049,0.261866,0.137004,0.157530,0.100024,0.026030,0.160078,0.146986,-0.006799,0.149523,0.100306,,,
29,0.241667,94.261955,-0.977279,0.275706,0.061953,0.155984,0.099438,0.001048,-0.024990,0.150070,0.260728,0.402404,0.137597,0.158772,0.098547,0.600623,0.026942,0.161647,0.146044,0.469782,-0.006333,0.151094,0.098320,0.300900,-0.025393,0.148073,0.261980,0.137161,0.157572,0.099507,0.026323,0.159977,0.147196,-0.006665,0.149442,0.100552,,,
30,0.250000,94.504555,-0.978197,0.274017,0.062181,0.155952,0.099312,0.001060,-0.024078,0.150040,0.260969,0.358983,0.137820,0.158741,0.098101,0.627570,0.027367,0.161616,0.146065,0.489308,-0.006109,0.151060,0.098483,0.240616,-0.024574,0.147957,0.262379,0.137435,0.157588,0.098961,0.026767,0.160001,0.147163,-0.006480,0.149263,0.100903,,,
31,0.258333,94.773125,-0.975946,0.243002,0.062558,0.155986,0.099013,0.001063,-0.022944,0.150161,0.261076,0.358983,0.138191,0.158774,0.097447,0.627570,0.027963,0.161674,0.145926,0.489308,-0.005735,0.151093,0.098507,0.240616,-0.023362,0.148168,0.262339,0.137808,0.157565,0.098379,0.027384,0.160129,0.146929,-0.006150,0.149262,0.100991,,,
32,0.266667,95.019257,-0.948501,0.224598,0.062984,0.156000,0.098710,0.001055,-0.021825,0.150272,0.261139,0.400836,0.138610,0.158754,0.096818,0.606630,0.028593,0.161721,0.145768,0.517098,-0.005313,0.151138,0.098498,0.221473,-0.022277,0.148282,0.262432,0.138269,0.157584,0.097704,0.028013,0.160171,0.146766,-0.005730,0.149359,0.100902,,,
33,0.275000,95.289581,-0.915609,0.232976,0.063472,0.155996,0.098399,0.001047,-0.020572,0.150303,0.261226,0.396047,0.139090,0.158706,0.096150,0.623493,0.029307,0.161733,0.145620,0.517048,-0.004828,0.151174,0.098509,0.245194,-0.021042,0.148302,0.262572,0.138673,0.157491,0.097106,0.028694,0.160189,0.146623,-0.005084,0.149583,0.100656,,,
34,0.283333,95.564125,-0.890907,0.228669,0.063990,0.156014,0.098036,0.001044,-0.019276,0.150375,0.261265,0.404915,0.139598,0.158692,0.095425,0.605689,0.030054,0.161771,0.145420,0.506630,-0.004311,0.151221,0.098474,0.331590,-0.019695,0.148388,0.262507,0.139176,0.157502,0.096371,0.029499,0.160190,0.146462,-0.004616,0.149643,0.100611,,,
35,0.291667,95.836678,-0.879557,0.324956,0.064646,0.156451,0.097329,0.001138,-0.017840,0.150571,0.260945,0.233385,0.140241,0.159105,0.094360,0.492750,0.030939,0.162141,0.144883,0.579013,-0.003654,0.151681,0.098085,0.165255,-0.018522,0.148152,0.262700,0.139768,0.157543,0.095566,0.031191,0.163765,0.144517,-0.004107,0.149559,0.100623,,,
36,0.300000,96.102882,-0.920515,0.306691,0.065194,0.156445,0.096961,0.001153,-0.016527,0.150545,0.260959,0.251001,0.140773,0.159156,0.093641,0.489669,0.031704,0.162122,0.144670,0.590616,-0.003098,0.151625,0.098036,0.140739,-0.017150,0.148133,0.262624,0.140286,0.157570,0.094831,0.031906,0.163709,0.144320,-0.003509,0.149460,0.100673,,,
