Format Version,1.23,Take Name,RotationTest_009,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-10-09 01.37.45.963 PM,Capture Start Frame,996143,Total Frames in Take,4513,Total Exported Frames,4513,Rotation Type,YXZ,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.133333,-151.407364,-0.464163,-1.069871,0.283859,0.156498,0.417563,0.000324,0.186332,0.158714,0.396112,0.891068,0.271696,0.163820,0.478149,0.896759,0.281011,0.150904,0.418792,0.916195,0.396396,0.152554,0.377197,0.926730,0.186205,0.158638,0.395712,0.271777,0.163770,0.478547,0.280956,0.151085,0.419050,0.396499,0.152492,0.376936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.141667,-151.405899,-0.463841,-1.073025,0.283865,0.156510,0.417561,0.000337,0.186338,0.158721,0.396113,0.893490,0.271703,0.163830,0.478149,0.897901,0.281018,0.150916,0.418791,0.920237,0.396402,0.152573,0.377193,0.928175,0.186210,0.158647,0.395719,0.271775,0.163781,0.478548,0.280953,0.151094,0.419051,0.396527,0.152510,0.376920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.150000,-151.412216,-0.457624,-1.053376,0.283849,0.156497,0.417575,0.000299,0.186324,0.158727,0.396115,0.894748,0.271682,0.163836,0.478159,0.897747,0.281000,0.150904,0.418805,0.919689,0.396389,0.152521,0.377219,0.923453,0.186211,0.158651,0.395716,0.271781,0.163786,0.478547,0.280942,0.151083,0.419054,0.396464,0.152462,0.376976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.158333,-151.412567,-0.462811,-1.056922,0.283823,0.156490,0.417585,0.000297,0.186299,0.158721,0.396125,0.895377,0.271656,0.163822,0.478170,0.901213,0.280974,0.150896,0.418815,0.918079,0.396363,0.152519,0.377230,0.932141,0.186193,0.158646,0.395727,0.271760,0.163771,0.478548,0.280891,0.151072,0.419079,0.396452,0.152461,0.376980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.166667,-151.407028,-0.458792,-1.070732,0.283842,0.156508,0.417578,0.000318,0.186315,0.158716,0.396128,0.893343,0.271679,0.163834,0.478164,0.900355,0.280995,0.150914,0.418808,0.915455,0.396379,0.152567,0.377212,0.926033,0.186199,0.158645,0.395723,0.271775,0.163786,0.478548,0.280905,0.151082,0.419087,0.396492,0.152510,0.376945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.175000,-151.407578,-0.467753,-1.072680,0.283844,0.156500,0.417577,0.000327,0.186317,0.158716,0.396126,0.893436,0.271681,0.163817,0.478164,0.898800,0.280997,0.150905,0.418806,0.916535,0.396381,0.152560,0.377211,0.924050,0.186200,0.158646,0.395722,0.271770,0.163771,0.478556,0.280908,0.151071,0.419082,0.396502,0.152503,0.376938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.183333,-151.406097,-0.447091,-1.059200,0.283841,0.156499,0.417578,0.000312,0.186314,0.158710,0.396129,0.893345,0.271680,0.163843,0.478163,0.898021,0.280994,0.150906,0.418810,0.917947,0.396377,0.152539,0.377211,0.929785,0.186199,0.158633,0.395726,0.271782,0.163792,0.478555,0.280910,0.151085,0.419072,0.396476,0.152479,0.376956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.191667,-151.406845,-0.458221,-1.062952,0.283851,0.156501,0.417573,0.000311,0.186324,0.158719,0.396123,0.893345,0.271688,0.163832,0.478159,0.898021,0.281003,0.150907,0.418804,0.917947,0.396387,0.152544,0.377207,0.929785,0.186205,0.158642,0.395718,0.271787,0.163779,0.478540,0.280927,0.151090,0.419077,0.396487,0.152483,0.376948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.200000,-151.406265,-0.456431,-1.062727,0.283845,0.156506,0.417580,0.000314,0.186318,0.158722,0.396131,0.892836,0.271683,0.163839,0.478166,0.900638,0.280997,0.150912,0.418811,0.915665,0.396381,0.152550,0.377212,0.929116,0.186202,0.158649,0.395732,0.271782,0.163791,0.478551,0.280913,0.151084,0.419075,0.396487,0.152492,0.376955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.208333,-151.404953,-0.459837,-1.070107,0.283848,0.156512,0.417571,0.000330,0.186321,0.158722,0.396124,0.894515,0.271687,0.163837,0.478157,0.899888,0.281001,0.150917,0.418801,0.918410,0.396384,0.152570,0.377200,0.928838,0.186201,0.158648,0.395720,0.271781,0.163787,0.478545,0.280902,0.151092,0.419082,0.396514,0.152510,0.376925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
